q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.148104,0,-0.117879,819,10.077
-0.147206,0,-0.0223576,819,10.123
-0.146309,0,-0.0793474,803,9.885
-0.145411,0,-0.112725,835,10.056
-0.145411,0,-0.0396679,835,10.132
-0.145411,0,-0.155281,754,9.792
-0.145411,0,-0.0558449,770,9.97
-0.146309,0,-0.0752298,803,9.925
-0.146309,0,-0.112452,722,10.123
-0.146309,0,-0.0303931,770,9.967
-0.146309,0,-0.148347,722,10.068
-0.146309,0,-0.0763581,770,9.939
-0.146309,0,-0.111663,770,10.352
-0.146309,0,-0.125887,738,9.689
-0.147206,0,-0.044491,770,9.935
-0.148104,-0.897599,-0.147942,690,10.047
-0.149001,0,-0.0805712,738,10.141
-0.149001,0,-0.090086,770,9.871
-0.149001,0,-0.108712,867,10.066
-0.149001,0,-0.019201,770,9.986
-0.149001,0,-0.124286,738,10.064
-0.149001,0,-0.0360353,770,9.847
-0.149001,0,-0.072499,770,10.12
-0.149001,0,-0.0738694,787,13.379
-0.149001,0,-0.0181349,770,7.191
-0.149001,0,-0.134202,819,9.366
-0.149001,0,-0.0516533,770,10.059
-0.149001,0,-0.0789937,738,10.289
-0.149001,0,-0.0986262,738,9.727
-0.149001,0,-0.0066556,754,9.818
-0.149001,0,-0.133606,770,10.144
-0.149001,0,-0.0355553,803,9.905
-0.149001,0,-0.0857024,738,10.378
-0.149001,0,-0.0878944,738,9.627
-0.149001,0,-0.0109204,770,10.005
-0.149001,0,-0.126811,722,10.066
-0.149001,0,-0.0420592,722,9.994
-0.149001,0,-0.0668007,803,10.001
-0.149001,0,-0.0822657,770,9.943
-0.149001,0,0.00241762,770,9.985
-0.149001,0,-0.116276,770,9.937
-0.149001,0,-0.0313118,770,10.089
-0.149001,0,-0.0589545,738,10.135
-0.149001,0,-0.084163,770,10.009
-0.149001,0,-0.0153483,803,9.927
-0.149001,0,-0.124996,770,9.919
-0.149001,0,-0.0250069,835,10.083
-0.149001,0,-0.0569811,803,9.918
-0.149001,0,-0.0963272,787,10.016
-0.149001,0,-0.00983247,803,9.981
-0.149001,0,-0.119815,803,10.024
-0.149001,0,-0.0234123,803,10.026
-0.149001,0,-0.0638087,819,9.956
-0.149001,0,-0.0304197,819,10.079
-0.149001,0,-0.0103172,835,10.387
-0.149001,0,-0.114064,803,9.446
-0.149001,0,-0.0202109,803,10.141
-0.149001,0.897599,-0.0879868,867,9.868
-0.148104,0,-0.0776279,835,10.451
-0.148104,0,-0.0159038,867,10.103
-0.148104,0,-0.124855,706,9.733
-0.148104,0,-0.0254036,867,9.843
-0.148104,0,-0.0701186,867,10.022
-0.148104,0,-0.0929734,835,9.909
-0.148104,0,-0.017319,803,10.37
-0.148104,0,-0.104887,803,9.743
-0.148104,0,-0.0241778,819,10.057
-0.148104,0,-0.0699777,835,9.825
-0.147206,0,-0.0854529,819,10.166
-0.147206,0,-0.0155101,835,9.948
-0.147206,0,-0.125038,803,10.078
-0.147206,0,-0.0377425,803,9.812
-0.147206,0,-0.0673166,835,10.191
-0.147206,0,-0.0752455,803,9.866
-0.147206,0,-0.00880395,803,10.227
-0.147206,0,-0.111684,835,9.714
-0.146309,0,-0.0255698,803,10.027
-0.146309,0,-0.103985,819,9.91
-0.145411,0,-0.0718493,787,10.186
-0.145411,0,-0.0101882,835,9.884
-0.145411,0,-0.120497,803,9.99
-0.145411,0,-0.0354889,835,9.996
-0.145411,0,-0.0719575,819,10.039
-0.145411,0,-0.0859245,803,9.967
-0.145411,0,-0.00815852,819,10.078
-0.145411,0,-0.111822,835,9.917
-0.145411,0,-0.0123007,770,10.055
-0.145411,0,-0.0584558,803,9.878
-0.145411,0,-0.0831323,803,10.127
-0.145411,0,-0.00311817,819,9.954
-0.144513,0,-0.0984104,835,10.051
-0.144513,0,-0.0254565,819,9.942
-0.144513,0,-0.0684157,835,10.06
-0.144513,0,-0.0874126,803,9.935
-0.144513,0,-0.0171053,803,10.358
-0.144513,0,-0.112946,835,9.679
-0.144513,0,-0.0191661,803,10.607
-0.144513,0,-0.060401,835,9.384
-0.144513,0,-0.085425,835,10.124
-0.144513,0,-0.013596,867,10.017
-0.144513,0,-0.106642,851,9.881
-0.144513,0,-0.0135043,835,9.958
-0.144513,0,-0.0699377,819,10.084
-0.144513,0,-0.0831742,803,10.032
-0.144513,0,-0.0048943,883,9.937
-0.144513,0,-0.115902,851,10.008
-0.144513,0,-0.0262986,867,10.071
-0.143616,0,-0.0741772,835,9.876
-0.143616,0,-0.0751415,835,10.023
